id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words,Step 6 Words,Step 7 Words,Step 8 Words,Step 9 Words
5a7d224d554299452d57bb12,Who did the single that was an internet sensation produced by Avex?,6,17,13,,,,,,
5ab40fa3554299753aec5a2c,The head coach of the 2006 Texas Longhorns football team is currently a commentator for what network?,13,8,8,,,,,,
5a721e5455429971e9dc9291,What is the name of the Nova Mob rock album influenced by a Nazi scientist?,12,6,9,12,20,,,,
5ae0752b5542993d6555eb58,"Ian Beale is one of the original EastEnders characters along with the cousin played, for a time, by which actress who played Dot in ""Sunday in the Park with George""?",18,23,18,17,,,,,
5ae7f0625542993210983fc9,"What is the birthdate of this Korean American singer songwriter based in South Korea, who sand A's Doll House?",7,6,7,13,12,,,,
5a7144395542994082a3e726,What two native American tribes are located on the reservation where the Lodgepole Community Hall is recognized as an historic site?,11,13,14,17,,,,,
5adf48a35542995534e8c77d,Are  Pete Docter and Berthold Viertel both film directors?,6,7,9,,,,,,
5a7e68ad5542991319bc9496,What Canadian tv series is a satire of a magazine featuring Martha Stewart?,11,9,7,19,,,,,
5a8b3e675542997f31a41cc4,Who is the founder of the university that hosted the 1948 College World Series?,14,13,17,,,,,,
5ae2c03e554299492dc91c5a,"Which was filmed first, Treasure Island or That Darn Cat?",6,7,5,6,,,,,
5a7fb1b55542992e7d278d21,Which feature named for he Scottish Gaelic word for lake is south of Beinn Alligin?,9,8,8,8,13,,,,
5a87d91a5542997e5c09a578,"Who, in 1541, founded the school where Robert Simons was educated?",7,7,5,8,,,,,
5a7fbb015542994857a767e2," Hardcore Homecoming tour was booked and promoted by Cody Michaels, Jeremy Borash and an American professional wrestler and what?",11,14,13,,,,,,
5a87c6265542996e4f308918,"Who directed the movie ""Happy Working Song"" was used in?",10,8,7,12,,,,,
5a8473945542990548d0b2bf,What Eastern Conference NBA team won the championship round of the 58th season of the National Basketball Association?,15,16,15,10,,,,,
5aba56de554299232ef4a293,"What was the occupation of Artine Artinian's friend who immortalized him in the play ""The Best Man""?",13,4,6,14,,,,,
5ae328215542992f92d82223,Thomas T. Matteson was appointed to the Superintendent position of the service academy located in what New York city?,19,7,19,,,,,,
5add3efd5542990dbb2f7df6,What is the crossover dribble dubbed that was used by former 1999-2000 Miami Heat season Player and current assistant coach for Detroit Pistons?,9,6,9,11,7,,,,
5abefa5f5542990832d3a114,The Branford Price Millar Library is the library of a public research university founded in what year?,13,6,5,7,,,,,
5ae76ca75542997ec272763f,"Poeville, Nevada is a historical mining town, known for a silver ore located under Mount Davidson, named what?",18,4,5,,,,,,
5adc005a5542994650320c3d,Cosmo Gordon was a politician who was from the castle sited in what parish?,18,19,19,,,,,,
5ae74ef65542997b22f6a6ad,"International Consolidated Airlines Group, S.A., often shortened to IAG, is an Anglo-Spanish multinational airline holding company,  it was formed in January of which year, after a merger agreement between British Airways and Iberia, the flag carrier airlines of the United Kingdom and Spain respectively?",6,7,7,,,,,,
5ae255d15542994d89d5b3e4,What is the birth date of the person who replaced Lawrence B. Lindsey after Lindsey left the White House in December 2002?,10,8,5,13,,,,,
5ae4c0a25542996836b02d15,Lee Rocker is an original member of a band that were heavily influenced by who?,10,10,11,12,,,,,
5a7a5f625542990783324f2f,"Who was born first, Lee Ranaldo or Lauren Laverne?",8,8,5,6,,,,,
5a7a97cc5542995eb53be875,"The creator of the song ""Alabam"" was born in what year?",7,11,5,11,,,,,
5ae7bb745542993210983f1a,Who directed both Carne in 1991 and I Stand Alone in 1998?,5,7,12,13,,,,,
5ae601075542992663a4f239,Who was the previous king to the king that married Boedil Thurgotsdatter?,8,6,5,7,9,,,,
5a8f92de55429918e830d26e,"What Upland, California strip club chain, with venues in the United States, United Kingdom, and Australia, was a member of the L.V.D.A.?",10,10,9,10,,,,,
5ab970d255429970cfb8eaf0,"What song is the anthem of the motion picture ""Rocky?""",7,12,12,13,,,,,
5ae80c0d554299540e5a5704,On which American cable channel aired the made-for-TV film wherein the character Squealer appears?,9,11,12,,,,,,
5ae13e7d55429901ffe4ae1e,"What is the genre of The Girl Next Door, in which Timothy Olyphant plays a villainous supporting role?",8,9,5,11,10,8,,,
5ae01102554299025d62a3df,"Andrew Tibbs, was an American electric and urban blues singer and songwriter, and is best known for his controversial 1947 recording ""Bilbo Is Dead"", a song relating to the demise of Theodore G. Bilbo, he was an American politician who twice served as governor, of which U.S. state?",48,,,,,,,,
5ae7e7e455429952e35ea9db,Who wrote The Secret River and The Yearling?,6,6,14,,,,,,
5ac434a35542991943173944,Which Royal Australian Air Force pilot was also part of the 1949/1950 tour of South Africa? ,11,16,13,15,,,,,
5ab522215542996a3a96a02f,Who starred in the film that won the Best First Film at the 25th Stockholm?,21,26,13,11,,,,,
5aba9aa155429901930fa855,"Enfield is a suburb in Adelaide, the suburb is bordered by which location, located about 15 km north of the Adelaide CBD, South Australia?",24,,,,,,,,
5a78ebe5554299148911f99f," Experiments in Ethics was written by who ,based on a women's liberal arts college in Bryn Mawr, Pennsylvania?",11,11,9,16,,,,,
5a7104715542994082a3e4c8,"Which health chain operates much of the amenity space in Sky, a luxury tower in Manhattan?",11,11,11,17,,,,,
5a7936a4554299029c4b5f2b,"Which magazine was founded first, Ignite Your Faith or Snowboard Magazine?",7,6,5,6,,,,,
5adf682c5542992d7e9f933a,"Which star of Forrest Gump was born on April 8, 1966 ?",7,8,6,15,,,,,
5a8b591f5542995d1e6f1379,"Billie Catherine Lourd (born July 17, 1992) is an American actress best known for playing Chanel #3 in the horror-comedy series ""Scream Queens"", she is the daughter of actress Carrie Fisher and which American talent agent, and has served as partner, managing director and co-chairman of Creative Artists Agency (CAA) since October 1995?",14,10,5,26,,,,,
5abcf22f554299700f9d7933,Dr. Fritz was a hypothetical surgeon channeled by practitioners of what pseudoscience?,21,27,11,4,13,,,,
5ab589c45542992aa134a354,The magazine where David Lindley was an Associate Editor of from 1996 – 2000 has been published since what year?,9,10,9,17,,,,,
5a7dbc385542997cc2c47489,"What is located at the ""Intrepid"" Sea, Air & Space Museum and was built for NASA but is not capable of spaceflight?",14,10,7,9,13,,,,
5ae5d1025542993aec5ec1d6,Who is the American sportscaster who hosted Dazzling Dunks and Basketball Bloopers in1989?,8,10,10,,,,,,
5a7b2cd8554299042af8f71c,Where is Rain Nightclub located?,6,7,10,8,8,10,,,
5ae319de55429928c42395eb,"How many Emmy awards did the actor, who played the lead role in ""The Landlord"", win?",9,13,13,18,8,,,,
5a8f5ef55542992414482a87,What was the final work of the Christian interpolation where the text refers to Christ and his execution by Pontius Pilate?,8,16,14,13,30,,,,
5ae61472554299546bf83069,Which  county located in the U.S. state of Montana is Brockton  a town in,7,6,5,8,,,,,
5ac270ec55429921a00aaf6a,"What 2003 point-and-click horror adventure game, similar to the game ""Alter Ego"", features 150 locations and 5 hours of spoken dialogue?",8,8,20,20,9,,,,
5a88616b55429938390d3f2f,Sucker Punch was a soundtrack to a film containing songs by a European singer from which country?,8,18,14,20,13,,,,
5ac112535542992a796dedc4,"Which company, along with Texas' House Majority Leader from 1995-2003, supported a proposed 2009 Congressional bill that would have amended the Internal Revenue Code to eliminate the alternative minimum tax on individual taxpayers?",9,11,19,15,13,,,,
5a77d04b5542992a6e59dfdb," Kirksey McCord Nix Jr. is reputedly the former leader of what violent criminal organization based in Biloxi, Mississippi.that uses member's to help move stolen merchandise, illegal alcohol, and illegal drugs. ",14,16,15,,,,,,
5ab5dadb554299494045f082,What did both Ivan Perestiani and Kim Ki-duk do as a career?,6,7,4,,,,,,
5ab2fb8a554299166977416e,Who wrote the 2012 dystopian novel Article 5 which was also followed by two sequels Breaking Point and Three.,10,9,9,,,,,,
5ab25f24554299449642c881,What recording company produced Bjork's song Pagan Poetry from her fourth album?,5,5,13,10,14,,,,
5a7d4a8d5542991319bc938b,India's first Sanskrit band is named after what set of hymns?,5,8,6,6,,,,,
5add7c475542992ae4cec584,"When was the American comedian, actor and philanthropist born who pretended to read aloud her novel ""Touch Me With Fire"" during a skit on The Tonight Show?",16,15,8,13,,,,,
5adc842e5542994d58a2f625,What year was the abbey established that elected Nicholas as Bishop of the Isles?,5,7,8,,,,,,
5ac2a087554299657fa28fea,From which country hail Siam General Aviation Company Limited and Nok Air?,13,5,10,12,17,,,,
5a8f4f0f5542992414482a33,Who directed the 2017 English-language French 3D science fiction adventure film starring Dane DeHaan?,7,13,8,15,15,,,,
5ae594085542993aec5ec1c9,"Which protagonist in the documentary film ""The Promise"" was convicted of two counts of first-degree murder?",18,22,,,,,,,
5addf97e5542995b365faba8,"What cultural, social and artistic explosion taking place in Harlem, New York is Madame E. Toussaint Welcome associated with?",8,6,15,6,8,,,,
5adbd55e55429944faac2374,The founder of which band also wrote and performed one of the best rock songs ever in the band's 4th album?,9,13,9,9,,,,,
5abd4d4955429933744ab76e,Do Taylor Momsen and Tom Hingley come from the same country?,7,7,10,13,,,,,
5ab1c2695542997061209555,"In which country does the island of Dodi Island exist, a popular destination for the cruise ship, Dodi Princess?",7,10,11,18,,,,,
5ab7e5e9554299366779403c,What is similar about Chilopsis and Lenophyllum? ,4,5,4,9,,,,,
5a81452855429938b614231d,Gary L. Wilson served this United States airline as chairman of the board that was founded in 1926 and absorbed into which lines?,6,6,8,7,23,,,,
5add258d554299473435387a,"What is the nationality of the actor who co-starred with J. D. Pardo and Mercedes Ruehl in ""A Girl Like Me: The Gwen Araujo Story""?",27,17,11,6,,,,,
5ae0db5b55429945ae959487,"""I Think I Love You"" is a song composed by songwriter Tony Romeo in 1970, there have also been many other cover versions of this song, most notably, Perry Como, he was an American singer and television personality, during a career spanning more than half a century, he recorded exclusively for which organization, for 44 years?",10,18,9,13,7,,,,
5a7dbf4a5542995ed0d1666e,"How tall is the hill that the Freighter ""G-AICS"" crashed into in 1958?",11,12,16,,,,,,
5a8ec7295542990e94052b87,"What position is Jordan Lukaku, younger brother of the Manchester United striker and also a Belgian international footballer?",8,9,13,7,,,,,
5abef9d75542994516f4548b,What year was the American film that featured the song Konichiwa Bitches released?,7,8,10,,,,,,
5a86db085542994775f60778,"The debut international album by pop duo Sandy & Junior covers five artists, including Tommy Page. What 1990 hit single is Page best known for?",11,8,12,7,,,,,
5a8c6481554299240d9c2152,Falling Slowly was featured in the soundtrack of the Irish musical written by whom?,10,8,16,6,9,,,,
5ab3f6e85542992ade7c6ef8," Katherine Stanhope, Countess of Chesterfield was the governess and confidante of this Princess who was married to who ",16,25,26,,,,,,
5a85d7495542997175ce2069,Shemuel Pagan is training at the gym of the boxer who fights in what weight class?,16,15,13,5,16,,,,
5add6b665542992ae4cec55b,"Carakale Brewery is a Jordanian microbrewery, founded in 2009 in the town of Fuheis near Amman, the brewery is named after which medium-sized wild cat native to Jordan?",12,9,11,,,,,,
5a899e9f55429946c8d6e96d,Were That Darn Cat! and Home on the Range made by the same stuido?,7,8,4,11,,,,,
5abb2e585542996cc5e49fd1,Davy Crockett and the River Pirates and Matterhorn Bobsleds are both owned by which company?,15,11,12,8,18,,,,
5ae425255542995ad6573d04,"Batman The Escape is a steel stand-up roller coaster is a roller coaster designed to have the passengers stand through the course of the ride, and is in storage at which location?",13,18,14,9,6,,,,
5abad0ad5542996cc5e49e9c,What sitcom did Nicholas Lyndhurst play in that ran for 6 years on BBC1 from 1993 to 1999?,16,14,23,8,,,,,
5a84ca325542994c784dda51,Robert Michael Manne is a Vice-Chancellor's Fellow at a universtiy that was established in what year?,16,16,6,10,,,,,
5ae22e35554299495565da2f,When was John Slater elder brother born? ,5,7,4,7,,,,,
5a7b86c75542997c3ec971f7,"Who signed to Capitol Nashville and released his self-titled debut album, and used material written by the wife of Chris Stapleton?",16,26,10,12,,,,,
5ab2b88a554299166977406d,Is Suqian or Da Qaidam a pre-fecture-level city in northern Jiangsu Province?,8,6,9,8,,,,,
5ae8320d55429952e35eaa89,"Michel Geiss collaborated with a singer, actor, and professional what?",10,9,11,,,,,,
5a7ca4ee5542990527d554f2,Who voiced the protagonist in the popular films directed by Roman Abelevich Kachanov?,12,15,20,,,,,,
5a7a4b345542990198eaf10b,When was the maker of Billy Beer founded?,6,6,6,11,,,,,
5a81001f55429938b6142284,"Which actress appeared in ""American Gothic"" and a 2010 historical drama film directed by Robert Redford?",8,8,11,6,11,,,,
5ae7ffce5542994a481bbe70,Ryan Northcott played an American musician who co-founded what?,6,4,11,12,,,,,
5ab48ac65542991779162cd1,The company that Rafael del Pino Calvo-Sotelo is the executive chairman of is headquartered in what city?,13,6,20,,,,,,
5ae13a955542997b2ef7d144,Point of No Return is a 30-episode drama that saw the on screen couple of Charmaine Sheh and a Hong Kong singer known for his role as Chi-Kin from what 1996 drama?,32,8,17,4,5,,,,
5a8dc5775542994ba4e3dd17,"Which song from Journey's album ""Escape"" charted on the United Kingdom Top 40 when it was re-released in 2009?",7,10,10,6,10,17,,,
5a7d1d0055429907fabef0b5,"Who composed the album that was dedicated to the magazine that is published by Condé Nast India Pvt. Ltd., a 100% owned subsidiary of Condé Nast International?",7,19,6,29,,,,,
5ae10509554299422ee995ca,Where was the playboy club located in the Palms Casino Resort?,9,9,7,7,5,8,,,
5ac143df5542991316484ab3,Did both the VTech Laser 200 and Mattel Aquarius include modem capabilities?,8,8,11,12,,,,,
5ae7f3175542994a481bbe4e,When was the English actress starred in London Road born? ,16,13,7,14,7,,,,
5abad440554299660624162d,Who was a former Major League Baseball player and an actor in the sitcom Mr. Belvedere?,7,6,5,8,,,,,
5a89ed445542992e4fca8485,What political news website was set up by a supporter of a politician who served in Pennsylvania's House of Representatives from 1999 to 2005?,11,13,5,13,,,,,
5abaac5055429901930fa88a,What did K. S. Dasgupta image while working at Indian Institute of Space Science and Technology?,13,12,11,12,,,,,
5abaf23a5542996cc5e49f28,The current best selling beer in Hong Kong is brewed by a company that was established in what year?,24,11,,,,,,,
5a8465e15542993344746104,How many locations does the company have that offered its employees stock ownership as part of employees' remuneration for work performed starting in 2014?,5,5,5,5,12,7,9,,
5addfc595542997545bbbde1,"Who was the director of the 2013 English-language German 3D computer-animated motion capture action-adventure film in which the actress, known for starring as Kristina Cassadine on the soap opera ""General Hospital"", voiced a role?",6,6,5,6,11,,,,
5ade1c7255429939a52fe821,"What Canadian actor and comedian was featured in the 1987 American comedy film Planes, Trains and Automobiles?",10,4,13,6,,,,,
5a8b595d5542997f31a41ce4,Which Broadway play did Anthony Rapp begin his singing and songwriting career with?,8,14,10,,,,,,
5a838f235542992ef85e2300,Journey to the Center of the Earth starred a former Metro-Goldwyn-Mayer contract star who is the mother of what actor?,17,11,8,12,,,,,
5abc35a9554299114383a105,The ImageWorks is an interactive exhibit area at a theme park located in what Florida city?,8,10,11,5,8,,,,
5add14645542994734353834,What is the nickname of the Argentinian tennis player who once lost to Janko Tipsarević?,7,9,10,7,8,,,,
5a772ec95542994aec3b720b,"What was the name of the former high school located by a now closed air base near Limestone and Caribou in Aroostook County, Maine?",20,9,8,10,11,,,,
5a81e9e355429926c1cdadbd,Wire and Fuel are both what?,5,7,8,11,,,,,
5a79b52155429970f5fffeb0,"In what year was the train service that includes the ""Palmetto"" introduced?",11,9,11,5,5,12,,,
5a8a97ca5542996c9b8d5f2d,Are Yale University and University of Oklahoma both among the five oldest universities in the USA?,6,7,19,9,21,,,,
5abbe54f554299114383a085,"The 1992–93 NBA season was the Magic's fourth season in the National Basketball Association, in December, the team acquired Steve Kerr, an American former professional basketball player and the current head coach, of the which organization?",8,12,17,16,,,,,
5abc0b205542996583600406,Rainer Widmayer was appointed caretaker of the Berlin club after this  German football player was fired and became manager of what?,12,9,7,23,,,,,
5ae5bea85542992663a4f214,"Who was an american actress born in 1982 who stared in the 2014 film ""A Royal Christmas""?",6,10,7,,,,,,
5ab84bbc55429916710eb01e,"What is the fourth episode in the American television sitcom created by Dan Harmon titled ""Community""?",5,6,7,6,6,,,,
5ac4e4bb554299076e296e36,Are both Michael Hofmann and Paul Bogart film directors?,6,7,7,,,,,,
5a7ca57a55429907fabeefe1,"Lady Catherine Anna Brudenell-Bruce (born 25 November 1984), known as Bo Bruce, is an English singer-songwriter previously signed to Mercury Records, throughout her career she has featured on a number of dance-oriented singles, notably with Chicane and Gareth Emery, an English electronic dance music producer and ?",5,9,4,8,7,,,,
5ae48ce95542995ad6573d72,"When was the Austro-Hungarian-American actor who acted a leading role with Margaret Tallichet in  ""Stranger on the Third Floor"" (1940) born? ",10,9,8,8,,,,,
5ae7a56c5542997ec27276c9,What is Inva Mula's occupation? ,4,4,4,4,4,4,,,
5a7b3be45542992d025e67b0,In what 2010 comedy film did the Baldwin Steps appear?,9,10,13,10,10,,,,
5a846624554299123d8c2235,Are Commersonia and Paulownia in the same family?,16,16,10,10,,,,,
5a7d73595542990b8f503991,The commander of the Pensacola Convoy passed away in which year ?,14,23,15,,,,,,
5a7e84ba5542997cc2c4755b,"Which film director was born first, Albert Capellani or Walerian Borowczyk?",6,6,5,6,,,,,
5ae26bbc554299492dc91c1e,Charlie Walker played football mainly for a club that competes in what league?,7,6,15,,,,,,
5a7d3b775542995ed0d16641,"Brown University and California Institute of Technology, are located in which country?",8,11,10,8,,,,,
5aba938855429901930fa842,Which Russian operatic baratone recorded Roads?,5,8,7,,,,,,
5a83181555429966c78a6b32,"The Prithvi Theatre, built by Shashi Kapoor and run by his wife Jennifer and daughter Sanjana, is in which Indian city?",10,8,7,7,,,,,
5adc6b3255429947ff173957,What kind of car is driven by the current defending winner of the Quaker State 400?,10,5,3,13,,,,,
5a906b4d5542990a98493637,Who is a judge on Strictly Come Dancing?,9,10,9,10,8,,,,
5a835377554299123d8c20e9,What is the name of the network that comes on at 8:00pm-6:00am and has a popular show called Rick and Morty?,6,6,10,23,,,,,
5aba2540554299232ef4a26b,Are Cycas and Heuchera both genus of plants ?,6,6,13,,,,,,
5a7f193e554299306751362b,James Hudson belongs to an order created by what monarch?,6,13,9,9,13,10,,,
5abfabb55542994516f454e6,Name an American clothing and accessories retailer that short-lived spinoff Martin+Osa?,10,7,10,18,,,,,
5a88eea3554299206df2b3be,"Wo was a French philosopher, influential especially in the first half of the 20th century and after WWII in continental philosophy, Federico García Lorca or Henri Bergson ?",7,5,12,11,7,8,9,,
5a7be2e455429907fabeef37,Nadège du Bospertus was the muse of an Italian fashion designer who was born when?,15,9,12,8,,,,,
5ae1f4ad554299234fd0436c,Rogues are a group of enemies led by which DC Comics supervillain?,9,13,13,12,,,,,
5ab29f60554299194fa93478,Are Fu'an and Feicheng both in China?,8,8,9,8,,,,,
5a7b4ddc554299042af8f745,"What was the name of the main character that appeared in The Man of Mode, or Sir Fopling Flutter, a Restoration comedy by George Etherege, where the main character, along with other characters were rakes, or men that has showed immoral conduct and womanising?",17,5,21,22,,,,,
5a847d94554299123d8c226e,What nationality was the man who derived the Einstein–Rosen metric with Albert Einstein?,8,12,12,16,,,,,
5a89edc25542993b751ca9bb,What musical elements are included on the album containing the single Fuck You?,9,10,15,,,,,,
5a772b185542993569682d13,"The actresses who played Harriet Winslow in ""Family Matters"" were both born in the same month, which month is that?",9,9,9,10,,,,,
5a8876d7554299206df2b28e,UFC Fight Night: Florian vs. Gomi was the first held in Charlotte since the event in what year?,17,9,8,28,,,,,
5abe8b8d55429933744ab842,"Which genus of plant is found in more location around the world, Peniocereus or Manettia ?",12,12,5,10,,,,,
5ac06d6a554299294b218fcf,Tom Leetch held a production role in what 1980 British American horror film?,9,14,14,7,15,,,,
5a8d0ed15542994ba4e3dbc4,Work Out featured which army ranger and fitness model in its fourth season?,19,9,9,,,,,,
5a8312b555429940e5e1a953,Who won the 27th season of the Danish Superliga?,12,13,14,14,10,,,,
5ab29500554299194fa93410,The river that powers the dam in Parana Brazil forms the boundary between what countries?,17,10,17,,,,,,
5ab740d85542992aa3b8c7ff,Ahmed Brahim had supposed contacts with the professor of Contemporary Islamic Studies at what institution?,9,9,10,18,,,,,
5a7a0efa5542990783324e1f,In what state is the headquarters of one of the developers for Skyhook Balloons? ,13,5,10,,,,,,
5a83006255429954d2e2ebf4,Who purchased the Californina Club before it was combined into luxury hotel and casino Golden Nugget Las Vegas?,8,9,11,20,,,,,
5a8093505542996402f6a56c,In what year did the actor born as Carlos Irwin Estevez provide a voice in a film directed by Larry Kasanoff?,7,8,5,6,,,,,
5abd058d554299700f9d7964,Joy Golden is well known for creating the radio spots for a brand of processed cheese products that have been made by Fromageries Bel since what year?,26,,,,,,,,
5ac342ea554299741d48a23e,"What was the role played in ""Sweet Charity"" by the star of Dear Diary?",8,8,7,10,,,,,
5ac43ddf5542995c82c4ad07,"Nii Addo Quaynor, better known by his stage name Tinny, is a Ghanaian Rapper, in 1994 he started performing at which indoor amusement park and arcade entertainment center located in Nashua, New Hampshire?",5,5,7,7,,,,,
5a90677455429933b8a2051d,Ahn So-hee is a former member of a girl group formed by what producer?,9,11,12,,,,,,
5a72c0085542994cef4bc3f5,What 7 deck item developed by Brian Eno and Peter Schmidt was used to help create the album Taking Tiger Mountain?,15,13,15,17,,,,,
