model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.5378127098083496
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.507809042930603
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.4956340193748474
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.5051285028457642
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.5221848487854004
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean-bl,0.5940024256706238
llama3-1_8B,hotpotQA,mathematical,AP,probas-min-bl,0.5988085269927979
llama3-1_8B,hotpotQA,mathematical,AP,token-sar-bl,0.5386443734169006
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean,0.5666618943214417
llama3-1_8B,hotpotQA,mathematical,AP,probas-min,0.5684689283370972
llama3-1_8B,hotpotQA,mathematical,AP,token-sar,0.5671703815460205
llama3-1_8B,hotpotQA,mathematical,SE,p-true-bl,0.5508732199668884
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allsteps,0.5470808744430542
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keystep,0.5443429946899414
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allkeywords,0.5887628197669983
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keykeywords,0.5889347791671753
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-bl,0.5361158847808838
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allsteps,0.5376787185668945
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keystep,0.5309573411941528
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allkeywords,0.5364972352981567
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keykeywords,0.5372818112373352
