id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words,Step 6 Words,Step 7 Words,Step 8 Words
nluds-0060,"I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?",16,12,19,,,,,
nluds-0061,"In a school, there are 542 girls and 387 boys. How many pupils are there in that school?",10,10,20,,,,,
nluds-0062,Linda has 34 candies. Chloe has 28. How many candies do they have in all?,10,10,20,,,,,
nluds-0063,Jose has 28 chickens and 18 ducks. How many fowls does he have?,18,10,18,,,,,
nluds-0064,Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?,12,10,13,14,8,,,
nluds-0065,Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?,16,16,25,,,,,
nluds-0066,"There were 105 parents in the program and 698 pupils, too. How many people were present in the program?",13,13,22,,,,,
nluds-0067,"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?",11,11,21,,,,,
nluds-0068,There are twelve birds on the fence. Eight more birds land on the fence. How many birds are on the fence?,16,25,26,,,,,
nluds-0069,Twenty-two boys went down the slide. Thirteen more boys went down the slide. How many boys went down the slide?,12,13,18,,,,,
nluds-0070,Thirteen ducks are swimming in a lake. Twenty more ducks come to join them. How many ducks are swimming in the lake?,19,20,20,,,,,
nluds-0071,Thirty dogs are barking. Ten more dogs start to bark. How many dogs are barking?,13,25,19,,,,,
nluds-0072,"Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?",13,16,7,,,,,
nluds-0073,Sandy had twenty-six pet fish. She bought six more fish. How many pet fish does Sandy have now?,19,34,,,,,,
nluds-0074,The clown blew up forty-seven balloons. Then he blew up thirteen more balloons. How many balloons does the clown have now?,20,24,9,,,,,
nluds-0075,Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?,20,40,,,,,,
nluds-0077,Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday. How many kids did she play with altogether?,16,16,29,,,,,
nluds-0078,Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now?,15,15,27,,,,,
nluds-0079,James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,15,24,,,,,,
nluds-0080,Charles found 6 pennies on his way to school. He also had 3 nickels already at home. How much money does he now have in all?,9,10,57,,,,,
nluds-0081,"Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket,. how many pounds does she have?",18,40,,,,,,
nluds-0082,"Jovana filled her bucket with 5 pounds of shells. If a friend comes to add 15 pounds of shells, and another friend comes to add 17 pounds of shells,. how many pounds does she have altogether?",15,19,19,16,,,,
nluds-0083,"Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long,. how many cubes long are both pencils?",22,33,,,,,,
nluds-0084,Isabella's hair is 18 cubes long. She gets hair extensions and it doubles her length. How much hair does she have now?,19,16,17,,,,,
nluds-0085,"Isabella's hair is 18 cubes long. If her hair grows 4 more inches,. how long will it be?",12,23,16,,,,,
nluds-0086,Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?,14,17,14,,,,,
nluds-0087,Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,11,16,25,,,,,
nluds-0088,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 3 heart biscuits each,. how many biscuits does she need to buy?",16,23,,,,,,
nluds-0089,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 5 heart biscuits each and a set of puppy boots each,. how many items will she buy?",26,23,,,,,,
nluds-0090,Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,13,13,29,,,,,
nluds-0091,Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49. How many fish did he have to begin with?,21,36,21,,,,,
nluds-0092,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,10,22,22,,,,,
nluds-0093,Hayley had 25 meatballs on her plate. Kirsten stole some of her meatballs. Now she has 11 meatballs on her plate. How many meatballs did Kirsten steal?,34,35,,,,,,
nluds-0094,"Isabella's hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long,. how much of Isabella's hair got cut off?",11,23,24,,,,,
nluds-0095,Isabella's hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?,21,14,,,,,,
nluds-0096,Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells. How many pounds did she add?,24,15,21,,,,,
nluds-0097,"Isha's pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long. How much did she sharpen off of her pencil?",11,14,24,,,,,
nluds-0098,"Isha's pencil is 22 inches long. If she sharpens two inches off on Monday and two inches on Tuesday,. how long will her pencil be then?",23,24,15,,,,,
nluds-0099,Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?,13,15,24,,,,,
nluds-0100,Mrs. Wong had 30 Valentines. She gave 8 Valentines to her children. How many does she have left?,15,21,,,,,,
nluds-0101,Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs. Franklin give to her students?,14,23,16,,,,,
nluds-0102,Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?,12,12,27,,,,,
nluds-0103,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree. How many more flew up to the tree?,17,17,30,,,,,
nluds-0104,"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How many children got on the bus at the bus stop?",37,14,,,,,,
nluds-0105,There were 28 girls and 35 boys on the playground at recess. How many children were there in all?,23,8,8,,,,,
nluds-0106,The elephant had 407 peanuts. She ate 129 of them. How many peanuts did the elephant have left?,12,25,,,,,,
nluds-0107,There were 58 geese and 37 ducks in the marsh. How many birds were there in all?,20,21,,,,,,
nluds-0108,Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's brother give her?,16,17,26,,,,,
nluds-0109,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons. How many balloons did Tommy have to start with?",20,23,13,13,,,,
nluds-0110,Alex had some candles for his Jack O'Lanterns. He used 32 of them. Now he has 12 left. How many candles did Alex have to start with?,12,11,19,25,,,,
nluds-0111,There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,14,13,28,,,,,
nluds-0112,Finn has 89 goldfish. 32 of the goldfish die. How many goldfish are left?,14,12,24,,,,,
nluds-0113,"Jane has 28 old, brown sheets of drawing paper and 27 old, yellow sheets of drawing paper. How many pieces of drawing paper does she have?",16,16,26,,,,,
nluds-0114,Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left. How many of her leaves blew away?,16,22,29,,,,,
nluds-0115,Marcus has 210 baseball cards. He has 58 more than Carter. How many baseball cards does Carter have?,10,15,,,,,,
nluds-0116,Gavin has 23 shirts. 6 are blue the rest are green. How many green shirts does Gavin have?,10,11,26,,,,,
nluds-0117,Ethan has 31 presents. Alissa has 22 more than Ethan. How many presents does Alissa have?,11,21,,,,,,
nluds-0118,"Cindy had 41 pieces of candy. She ate six pieces in the morning, and twelve more pieces in the afternoon. How many pieces of candy does she have left?",17,24,,,,,,
nluds-0119,Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,12,12,27,,,,,
nluds-0120,Cindy has 105 stickers. She uses 23 stickers. She buys 45 more stickers. How many stickers does Cindy have now?,13,11,18,,,,,
nluds-0121,Brian has 39 pencils. He gives 18 pencils to a friend. He buys 22 more pencils. How many pencils does Brian have now?,19,22,,,,,,
nluds-0122,Karen has 252 markers. Her mother gives her 34 more markers. Karen loses 11 markers. How many markers does she have now?,11,14,19,,,,,
nluds-0123,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the week?,16,17,20,,,,,
nluds-0124,Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?,14,28,,,,,,
nluds-0125,Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum. How many pieces did Todd have to start with?,13,14,10,,,,,
nluds-0126,Josh had 142 pencils. He gave 31 pencils to Dorothy. How many pencils does Josh have left?,12,12,14,,,,,
nluds-0127,Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left. How many cards did Nell give to Jeff?,17,17,,,,,,
nluds-0128,"Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?",25,18,6,,,,,
nluds-0129,There are 40 boys and some girls on the playground. There are 117 children altogether. How many girls are on the playground?,21,31,,,,,,
nluds-0130,Each CD rack holds 8 CDs. A shelf can hold four racks. How many total CDs can fit on the shelf?,16,15,21,,,,,
nluds-0131,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles. How many did she start with?,26,26,,,,,,
nluds-0132,Paco had 35 cookies. He ate 6 of them. How many cookies did Paco have left?,11,10,31,,,,,
nluds-0133,Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?,30,,,,,,,
nluds-0134,"Joe had fifty toy cars. If he gets twelve more cars,. how many cars will he have then?",17,23,,,,,,
nluds-0135,Maria had twenty-five pieces of gum. Tommy gave her sixteen more pieces. Luis gave her twenty more pieces. How many pieces of gum does Maria have now?,21,14,14,,,,,
nluds-0136,There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?,20,38,31,,,,,
nluds-0137,"Rosa had sixty-seven flowers. Andre gave her some more flowers. Now, Rosa has ninety flowers. How many flowers did Andre give to Rosa?",16,13,16,,,,,
nluds-0138,Adolfo made a tower with thirty-five blocks. He added some more blocks and now he has sixty-five blocks. How many did he have to add?,22,32,,,,,,
nluds-0139,Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?,11,11,13,,,,,
nluds-0140,Hugo had seventy-nine stickers in his sticker book. He got some more to add to his book and now he has one hundred-twenty stickers. How many did he add to his book?,15,15,17,,,,,
nluds-0141,Josh had 16 marbles in his collection. He lost 7 marbles. How many marbles does he have now?,12,9,17,,,,,
nluds-0142,Megan has 19 seashells. How many more seashells does she need to find to have 25 seashells in her collection?,12,18,28,,,,,
nluds-0143,Brad has 17 balloons. 8 balloons are red and the rest are green. How many green balloons does Brad have?,11,11,29,,,,,
nluds-0144,There are 38 books on the shelf. Marta put 10 more books on the shelf. How many books are on the shelf now?,13,19,25,,,,,
nluds-0145,A bee has 6 legs. How many legs do 8 bees have?,5,19,6,,,,,
nluds-0146,Mrs. Hilt bought an ice cream cone for 99 cents. How much would 2 ice cream cones cost?,17,21,9,,,,,
nluds-0147,Mrs. Hilt wants to make a border around her garden. She needs 125 rocks to complete the border. She has 64 rocks. How many more rocks does she need to complete the border?,15,6,,,,,,
nluds-0148,Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?,11,22,,,,,,
nluds-0149,Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the car. How many miles did they have left to drive?,28,21,31,,,,,
nluds-0150,Mrs. Hilt spent 1 hour and 30 minutes shoveling snow on Saturday morning and 45 minutes shoveling snow on Saturday afternoon. How much total time did she spend shoveling snow?,21,18,23,,,,,
nluds-0151,Mrs. Hilt bought 6 hot dogs. Each hot dog cost 50 cents. How much money did she pay for all of the hot dogs?,27,22,,,,,,
nluds-0152,Mrs. Hilt reads 13 books on every day that starts with the letters T and S. How many books does she read in one week?,23,18,22,,,,,
nluds-0153,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,16,25,15,,,,,
nluds-0154,"Mrs. Hilt saw 33 butterflies. Some of the butterflies were red and others were orange. If 20 of the butterflies were orange,. how many of them were red?",10,25,11,,,,,
nluds-0155,Mrs. Hilt bought a pencil for 17 cents. She used exactly minimized coins to buy the pencil. How many coins did she use?,14,15,,,,,,
nluds-0156,Mrs. Hilt had 43 cents. She bought a pencil for 20 cents and a piece of candy for 5 cents. How much money did she have left?,16,17,,,,,,
nluds-0157,"On Tuesday, Mrs. Hilt saw 88 raisins on a tray in the cafeteria. That was 8 more raisins than she saw the day before. How many raisins were on the table on Monday?",17,17,23,,,,,
nluds-0158,"Mrs. Hilt bought carnival tickets. The tickets cost $1 for 4 tickets. If Mrs. Hilt bought 12 tickets,. how much did she pay?",22,24,11,,,,,
nluds-0159,Mrs. Hilt bought 3 pizzas for $8 each. What was the total amount she paid for the three pizzas?,10,21,,,,,,
nluds-0160,"Mrs. Hilt saw 21 snakes, 11 alligators, 36 frogs, and 57 bears. How many reptiles did Mrs. Hilt see?",16,11,7,,,,,
nluds-0161,The Hawks scored three touchdowns worth 7 points each. How many points do they have?,13,12,21,,,,,
nluds-0162,I have 28 cents in my pocket. How coins could I have on minimization?,14,24,8,,,,,
nluds-0163,Zach scored 42 points in the football game. Ben scored 21 points. How many more points did Zach score?,11,11,17,,,,,
nluds-0165,"I have 3 hundreds, 8 tens, and 3 ones. What number am I?",6,7,,,,,,
nluds-0166,The puppet show begins at 2:00 p.m. It lasts 1 hour and 30 minutes. What time does it end?,12,14,22,,,,,
nluds-0167,John's birthday is January 20th. His sister's birthday comes 14 days later. When is his sister's birthday?,22,13,21,,,,,
nluds-0168,A quarter equals $0.25. How many quarters equal $2.25?,19,14,,,,,,
nluds-0169,Kate has 223 pennies. John has 388 pennies. How many more pennies does John have?,11,44,,,,,,
nluds-0170,There are 5 birds in a tree. How many bird legs do you see?,11,13,,,,,,
nluds-0172,There are 3 spiders. How many spider legs are there?,9,15,7,,,,,
nluds-0174,Jeff has twice as many crayons as Joan. Joan has 12 crayons. How many does Jeff have?,10,23,,,,,,
nluds-0175,It is 2:00. What time will it be in three hours and forty-five minutes?,30,14,11,,,,,
nluds-0176,Kate gave the clerk $1.00. Her candy cost 54 cents. How much change should Kate get back?,11,23,22,,,,,
nluds-0177,"Mark has 13 trees in his backyard. If he plants 12 more,. how many trees will he have?",29,21,18,,,,,
nluds-0178,Joy will see her grandma in two days. How many hours until she sees her?,15,33,33,,,,,
nluds-0179,Kim has 4 cousins. She wants to give each one 5 pieces of gum. How much gum will she need?,18,28,,,,,,
nluds-0180,Dan has $3.00. He bought a candy bar for $1.00. How much money is left?,7,8,5,,,,,
nluds-0181,5 boats are in the lake. Each boat has 3 people. How many people are on boats in the lake?,15,12,21,,,,,
nluds-0182,"There are 43 dogs, 72 fish, and 34 cats at my farm. How many pets do I have at my farm?",17,18,,,,,,
nluds-0183,Dane eats lunch at 12:30. It takes him 20 minutes to eat. What time does Dane finish eating?,14,12,22,,,,,
nluds-0185,Charlie has 31 more snowballs than Lucy. She has 19 snowballs. How many does Charlie have?,11,15,,,,,,
nluds-0186,Josh had $1.80. He paid 45 cents for a candy car. How much change will he get?,24,22,,,,,,
nluds-0187,"I have 9 pennies, 4 nickels, and 3 dimes. How much money do I have?",25,19,13,,,,,
nluds-0188,Randy has 78 blocks. He uses 19 blocks to build a tower. How many blocks are left?,11,14,29,,,,,
nluds-0189,Hailey's bus is third in line. Danny's bus is 3 buses behind hers. What place in line is Danny's bus?,14,21,,,,,,
nluds-0191,"Gino has 15 brown bears, 24 white bears, and 27 black bears. How many bears does Gino have?",11,11,11,24,,,,
nluds-0192,"Rob has seven quarters, three dimes, five nickels, and twelve pennies. How much money does Rob have?",11,22,9,14,,,,
nluds-0193,"Morgan has 65 red pens, 45 blue pens, and 58 black pens. How many pens does she have?",12,12,12,20,,,,
nluds-0194,Adi bought a pencil for 35 cents. He paid with a one-dollar bill. How much change will he get?,13,8,24,,,,,
nluds-0195,Rachel is third in line. Julie is 2 spots in front of her. What place in line is Julie?,18,8,21,,,,,
nluds-0197,Bryan has 50 skittles. Ben has 20 M&M's. How many more does Brian have?,11,11,22,,,,,
nluds-0198,"It takes 20 minutes to cook pizza. If Jack wants to eat at 6:30,. what time should he put it in the oven?",12,31,,,,,,
nluds-0199,"It takes 15 minutes for Michael to get to Edgewood. If Michael arrives at 8:30,. what time did Michael leave to get there?",10,10,18,,,,,
nluds-0200,The train left for the station at 9:45 and arrived at 10:00. How long did it take?,13,13,20,,,,,
nluds-0201,"Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each,. how many pieces of wood do they have in total?",28,34,,,,,,
nluds-0202,"While building the house, Charlie noticed that they were running out of nails so he told his father he's going to buy some. If they still have 9 nails left and Charlie bought 2 boxes of nails, the big one containing 55 nails and the small one containing 31,. how many nails will they have?",36,28,10,,,,,
nluds-0203,"To have a more stable treehouse, Charlie's father decided to tie the corner posts of the house to the tree itself. He used 24 inches of rope for the first post, 20 inches on the second, 14 inches on the third and 12 inches on the fourth. How many inches of rope were used?",30,19,,,,,,
nluds-0204,"The treehouse is almost done; all they need is to paint it. His father estimated that they will use 20 ounces of white paint, 15 ounces of green paint and 34 ounces of brown paint. How many ounces of paint would they buy in total?",15,14,14,17,,,,
nluds-0205,"Upon finishing the treehouse, Charlie's mother served them freshly baked cookies. If Charlie ate 15 cookies, his father ate 10 and his mother only ate 5,. how many cookies were eaten in total?",26,33,26,,,,,
nluds-0206,"Annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party. Jessica, Annie's best friend, is hosting the party. She plans on making pizza for everyone. If she bought 15 pieces of pepperoni, 10 pieces of salami and 30 pieces of bacon as meat ingredients,. how many pieces of meat did she buy in total?",27,20,,,,,,
nluds-0207,"Andrew, Annie's other friend, was assigned with the preparation of appetizers. He decided to bring 30 hotdogs on sticks, 20 pieces of bite-sized cheese pops and 40 pieces of chicken nuggets. How many portions of appetizers did Andrew bring in all?",12,14,14,25,,,,
nluds-0208,"Annie's mother has also been asked to be a part of the surprise. She was tasked to be in charge of drinks. She made 25 glasses of orange juice, 15 glasses of grape juice and 5 glasses of apple juice. How many glasses of juice would there be?",14,13,13,24,,,,
nluds-0209,"Annie's friends wanted to make sure that there will be enough utensils to go around. If they already have 10 spoons and 10 forks and they bought 30 more for forks and 20 more spoons,. how many utensils do they have available for the party?",24,23,22,,,,,
nluds-0210,"On the actual day of Annie's birthday, almost everyone in her class came to surprise her. If Annie has 15 girl classmates, 20 boy classmates and 3 teachers in her class,. how many people attended her birthday party?",14,14,14,34,,,,
nluds-0211,"It's Halloween in Chicago. Bob, Mary, John, Sue and Sam dressed as superheroes and went out to do some trick or treating. After passing through the houses on Main Street, the five friends counted how much candy they have. If Bob has 10 candies, Mary has 5, Sue has 20, John has 5 as well and Sam has also 10 candies. How many candies did they have together?",27,17,18,,,,,
nluds-0212,"The group then went on to check out the houses along Broadway Street and the scary Werewolf Avenue. After the long walk, they decided to count their candy again. If Mary has 5 chewing gums, Sam has 10 chewing gums and Sue has 15 chewing gums,. how many chewing gums did the three have in all?",5,5,5,28,,,,
nluds-0213,"The friends then proceeded to the rest of the houses in their village. However, Sam had to go home earlier. She got her share of candies which are composed of 10 chewing gums, 15 chocolate bars, and 20 assorted fruit candies. How many candies did she get in total?",11,11,13,25,,,,
nluds-0214,"Bob who is Sam's next door neighbor decided that he will accompany Sam home. He also took his share which consists of 15 chewing gums, 20 chocolate bars and 15 assorted candies. How many candies did he get?",16,10,,,,,,
nluds-0215,"After Sam and Bob left, Mary, John and Sue decided to go home as well. They counted the total amount of treats that the three of them got. They were able to sort out 60 chewing gums, 55 chocolate bars and another 40 candies of different flavors. How many treats did Mary, John and Sue have in total?",19,24,14,,,,,
nluds-0216,"It is Easter time and the kids in the neighborhood of Easterville are very excited about the annual Easter egg hunt. The parents have decided to hide the eggs in a lot of different places. They hid 55 eggs around the club house, 33 eggs around the village park and 22 eggs in the town hall garden. How many eggs were hidden in total?",12,12,13,40,,,,
nluds-0217,"Joe, one of the best Easter egg hunters, found 12 eggs around the club house, 5 eggs around the park and 3 eggs in the town hall garden. How many eggs did Joe find?",30,24,,,,,,
nluds-0218,"The twins Ellie and Amy were able to locate 10 eggs around the club house, 4 eggs in the town hall garden and 6 more around the park. How many eggs do they have in total?",49,,,,,,,
