id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words
chal-15,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence?,11,24,29,,
chal-16,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?,10,15,14,,
chal-17,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys. How many boys are there in that school?,12,16,23,,
chal-18,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?,23,23,23,,
chal-19,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?,14,12,24,7,
chal-20,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,26,,,,
chal-21,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?,25,1,26,1,5
chal-22,An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make?,13,16,28,,
chal-23,The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection. How many groups are there?,13,26,21,,
chal-24,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now. How many birds had been sitting on the fence at the start?,18,18,13,,
chal-25,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now. How many action figures did he remove from the shelf?,11,13,35,,
chal-26,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,20,15,30,,
chal-27,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate. How many students participated in the suggestion of new food items?,6,9,9,8,28
chal-28,Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially. How many crackers and cakes did each person eat?,27,27,14,,
chal-29,"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",34,14,24,,
chal-30,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money. How much did each candy bar cost?",17,23,,,
chal-31,Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans. How many more bags did she find on the next day than she had on monday?,15,21,49,,
chal-32,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase. How many roses did she cut?,27,16,25,,
chal-33,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets. How many baskets of peaches are there?,35,14,,,
chal-34,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket. How much money does she have left?,12,11,20,,
chal-35,"Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the day. How many emails did Jack receive in the afternoon?",10,13,42,,
chal-36,Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5. How much money is left?,17,9,25,,
chal-37,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day. How many visited the Buckingham palace within 25 days?",20,65,,,
chal-38,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad?,16,17,11,37,
chal-39,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups. How big is each group of oranges?,18,8,15,8,
chal-40,There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books. How many more movies than books have you read?,10,10,23,,
chal-41,Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour. How many cups of flour did she put in?,14,23,18,,
chal-42,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,16,18,18,,
chal-43,Luke played 177 rounds of a trivia game. If he gained 46 points in each round. How many points did he score in the game?,19,,,,
chal-44,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,21,17,32,,
chal-45,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump?",25,20,21,,
chal-46,Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do?,23,23,23,,
chal-47,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",19,24,30,,
chal-48,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now. How many action figures did he add to the shelf?,16,18,38,,
chal-49,Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days. How many kids did she play with altogether?,13,19,15,,
chal-50,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have?,13,13,26,,
chal-51,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding. How many alligators were not hiding?",27,,,,
chal-52,You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series. How many more do you still have to read?,15,21,35,,
chal-53,Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces. How many beads did each necklace need?,28,23,17,,
chal-54,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy. How many bags would he have?,18,18,22,,
chal-55,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers. How many customers does he have now?,6,9,14,,
chal-56,A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today. How many tomatoes did he pick in all?,18,28,19,,
chal-57,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket. How many green and yellow peaches are in the basket?",13,12,22,,
chal-58,Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter. How many more bird families flew away for the winter than those that stayed behind?,18,18,27,,
chal-59,There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now?,21,28,16,,
chal-60,"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day. How many more visitors visited the Buckingham palace on that day than on the previous day?",21,28,24,,
chal-61,A waiter had 12 customers. While 15 customers left he got 14 new customers. How many customers does he still have?,12,23,23,25,
chal-62,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?,24,10,21,17,
chal-63,He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,18,32,,,
chal-64,Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar. How many cups of flour did she put in?,32,18,,,
chal-65,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries. How many cakes would baker still have?,11,11,21,24,
chal-66,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,15,43,24,,
chal-67,An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,22,22,25,,
chal-68,Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs. How many eggs will each group have?,13,14,29,,
chal-69,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends. How many crackers did Matthew have?,22,22,,,
chal-70,Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her. How much money did she have initially?,35,15,,,
chal-71,If Lewis earns $ 1357 every week during the 223 weeks of a harvest season. How much money will he earn if he works for 73 harvest seasons?,16,27,30,,
chal-72,Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,13,16,32,,
chal-73,Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon. How many emails did jack receive in the day?,14,14,35,,
chal-74,Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies. How many cookies did Paco have left?,13,13,20,24,
chal-75,Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu. How many students suggested adding bacon?,11,,,,
chal-76,If each bag has 41 cookies and you had 53 bags of cookies. How many cookies would you have?,24,11,12,,
chal-77,Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have?,17,17,41,,
chal-78,Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?,14,12,26,30,
chal-79,"Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday. How many more kids did she play with on tuesday than on wednesday?",15,15,20,,
chal-80,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?,47,,,,
chal-81,36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. How many more children got off the bus than those that got on?,30,30,26,,
chal-82,Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies. How many did each of them have?,12,27,20,,
chal-83,Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether. How many bags did she find on the next day?,12,11,24,,
chal-84,In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have?,22,16,32,,
chal-85,Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces. How many beads did Emily have?,16,30,,,
chal-86,Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house?,19,19,54,,
chal-87,2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence?,20,13,10,,
chal-88,The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,24,26,,,
chal-89,Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend. How many more cookies did he give to his friend than those he ate?,12,18,23,,
chal-90,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day. How many more visitors visited the Buckingham palace on that day than on the previous day?",15,15,20,34,
chal-91,Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles. How many more marbles did he find than those he lost?,10,10,21,,
chal-92,Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu. How many more students suggested mashed potatoes than those that suggested bacon?,19,17,53,,
chal-93,Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend. How many cookies did paco have left?,11,18,21,13,
chal-94,Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend?,12,13,37,,
chal-95,Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,39,21,28,,
chal-96,Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar?,17,19,36,,
chal-97,Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground. How many more marbles did Ed have than Doug then?,16,11,22,,
chal-98,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 10 inches farther than the grasshopper and the mouse jumped 20 inches farther than the frog. How much farther did the mouse jump than the grasshopper?",14,14,44,,
chal-99,Frank was reading through his favorite book. It took him 16 days to finish the book. If the book had 112 pages. How many pages did he read per day?,22,23,,,
chal-100,There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books. How many books have you already read?,18,35,34,,
chal-101,Allan brought 3 balloons and Jake brought 5 balloons to the park. Allan then bought 2 more balloons at the park. How many balloons did Allan and Jake have in the park?,20,27,29,,
chal-102,Josh lost 11 marbles. If he had 19 marbles in his collection earlier. How many marbles does he have now?,16,30,11,,
chal-103,Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park. How many more balloons did Jake have than Allan in the park?,21,24,26,,
chal-104,Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have?,9,13,25,,
chal-105,A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,16,16,33,,
chal-106,There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches. How many red peaches are in the baskets altogether?,21,32,20,,
chal-107,During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all. About how many kids stayed home?,17,16,27,,
chal-108,There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all?,12,15,25,,
chal-109,Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,33,18,25,,
chal-110,"A chef had 58 apples. After making some pies, he had used 35. How many apples remained?",10,26,10,,
chal-111,You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total. How many cookies does each bag have?,6,6,9,14,20
chal-112,He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges. How many sacks of oranges will they have after 49 days of harvest?,16,12,17,,
chal-113,There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase. How many orchids did she cut?,14,14,11,,
chal-114,"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?",16,16,16,28,
chal-115,Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,18,13,13,16,
chal-116,A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today. How many did he have left after yesterday's picking?,23,20,,,
chal-117,Each pot has 40 flowers in it. There are 400 flowers in total. How many pots are there in all?,13,18,12,,
chal-118,15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day. How many campers went rowing in the afternoon?,18,34,23,,
chal-119,Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu. How many more students suggested bacon than those that suggested mashed potatoes?,25,23,,,
chal-120,Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles. How many marbles did Doug have initially?,17,26,28,,
chal-121,Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework. How many pages of reading homework did she have to complete?,10,11,18,8,10
chal-122,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake?,12,24,25,,
chal-123,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether. How many bags did she have on monday?,13,28,25,,
chal-124,Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,21,31,35,,
chal-125,Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,28,18,23,15,
chal-126,Kelly has 22 nintendo games. How many does she need to buy so that she will have 140 games left?,26,27,,,
chal-127,Mom buys 70 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys 14 packages. How many white t - shirts does each package have?,41,13,,,
chal-128,A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today. How many will he have left after today?,16,23,25,,
chal-129,Last week Fred had 47 dollars and Jason had 99 dollars. Over the weekend Fred delivered newspapers earning 111 dollars and washed cars earning 34 dollars. How much money does Fred have now?,22,13,21,17,
chal-130,Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar. How many more cups of flour does she need to add?,21,24,24,,
chal-131,There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase. How many more orchids than roses are there in the vase now?,19,15,15,32,
chal-132,After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging. How much does she weigh now?,13,27,,,
chal-133,22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. How many children got off the bus at the bus stop?,27,33,,,
chal-134,There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies. How many more books than movies have you read?,20,16,27,,
chal-135,Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads. How many beads did Emily have?,12,16,29,,
chal-136,A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes. How many tomatoes and potatoes does he have left?,18,19,14,22,
chal-137,Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars. How much money did they earn by washing cars?,23,23,24,,
chal-138,A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block. How many pieces of junk mail should he give in each block?,19,17,12,,
chal-139,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially. How many cakes did each person eat?,18,40,19,,
chal-140,Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially. How many roses did she cut?,17,28,25,,
chal-141,23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus. How many more children got off the bus than those that got on?,16,30,34,,
chal-142,A book has 3 chapters. The first chapter is 66 pages long the second chapter is 35 pages long and the third chapter is 24 pages long. How many pages does the book have altogether?,16,14,14,16,
chal-143,"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?",15,15,15,22,
chal-144,Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther. How many flower beds did they have?,16,13,28,,
chal-145,Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes. How many more students suggested mashed potatoes than those that suggested bacon?,20,18,48,,
chal-146,In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school. How many boys are there in the school now?,21,19,36,,
chal-147,After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet. How much deeper is the water than Dean's height?,26,24,19,,
chal-148,Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax. How many grams of wax does he already have?,19,13,41,,
chal-149,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages. How many days did he take to finish the book?,11,37,,,
chal-150,There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket. How many green peaches are in the basket?,16,17,33,,
chal-151,After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet. How deep was the water?,20,30,24,,
chal-152,There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it. How many flowers are there in all?,34,25,,,
chal-153,Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds. How many seeds did they plant?,16,18,26,,
chal-154,Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds. How much more did his strawberries weigh than his dad's?,7,8,19,,
chal-155,Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday. How many more kids did she play with on monday than on wednesday?,30,14,28,,
chal-156,Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in it. How many packs does she need so that no friend gets left out?,15,14,16,,
chal-157,"A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda. How many more bottles than apple did they have?",8,16,21,27,
chal-158,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper. How much farther did the mouse jump than the grasshopper?",12,27,19,,
chal-159,Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row. How many pencils and crayons does she have altogether?,20,57,,,
chal-160,The school is planning a field trip. The school has 87 classrooms. There are 58 students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. How many buses are needed to take the trip?,28,30,15,,
chal-161,Emily is making bead necklaces for her friends. She had 2 beads and she was able to make 32 necklaces. How many beads did each necklace need?,26,34,,,
chal-162,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,30,18,9,10,
chal-163,Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies. How many more salty cookies than sweet cookies did he eat?,27,31,,,
chal-164,Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have?,26,23,,,
chal-165,Paul had 115 books. He sold 78 books in a garage sale. How many books does he have left with him?,9,4,11,,
chal-166,An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute. How many minutes did the machine work in all?,23,26,22,,
chal-167,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 14 invitations in it and she bought 6 packs. Then she bought 11 extra invitations. How many friends can she invite?,15,18,21,16,
chal-168,An industrial machine can make 3 shirts per minute. It made 6 shirts in all. How many minutes was the machine working?,15,34,,,
chal-169,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,13,19,23,19,
chal-170,A grocery store had 67 bottles of regular soda and 9 bottles of diet soda. How many more bottles of regular soda than diet soda did they have?,13,13,22,,
chal-171,During summer break 644997 kids from Lawrence county stayed home and the other 893835 kids went to camp. An additional 78 kids from outside the county attended the camp. How many kids are in Lawrence county?,26,11,28,,
chal-172,Faye was placing 30 pencils into rows with 5 pencils in each row. How many rows could she make?,12,12,13,,
chal-173,Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bag. How many pieces of candy did he have?,26,40,11,,
chal-174,A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple. How many bottles of diet soda did they have?,11,15,40,17,
chal-175,Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches. How many more peaches does Jake have than Jill?,11,15,15,,
chal-176,Josh had 20 marbles in his collection. He gave 2 marbles to Jack. How many marbles does Josh have now?,11,11,24,,
chal-177,Steven has 12 peaches. Jake has 4 fewer peaches than Steven who has 67 more peaches than Jill. How many peaches does Jake have?,16,23,23,,
chal-178,The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game. How much money did they make from selling the t-shirts during the arkansas game?,17,15,29,,
chal-179,"Jack received 6 emails in the morning, 3 emails in the afternoon and 5 emails in the evening. How many emails did Jack receive in the day?",15,15,21,22,
chal-180,Jake has 5 fewer peaches than Steven. Steven has 18 more peaches than Jill. If Jill has 87 peaches. How many more peaches does Jake have than Jill?,11,15,15,18,
chal-181,For the walls of the house he would use 13 large planks of wood. If each plank of wood needs 17 pieces of nails to be secured and in addition 8 nails are needed for some smaller planks. How many nails does John need for the house wall?,15,25,28,,
chal-182,"A grocery store had 54 bottles of diet soda, 83 bottles of regular soda and 12 apples. How many more bottles of regular soda than diet soda did they have?",16,16,30,,
chal-183,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes. How many more students suggested mashed potatoes than those that suggested bacon?,17,30,,,
chal-184,Brenda's mother made cookies for 14. If each of them had 30 cookies. How many cookies did she prepare?,14,27,,,
chal-185,Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left. How many more apps did he delete than he added?,14,20,20,19,
chal-186,Kelly has 106 nintendo games. How many will she have left if she gives away 64 games?,9,10,22,,
chal-187,Matthew had 15 crackers. If Matthew gave equal numbers of crackers to his 5 friends and still had 10 crackers left. How many crackers did each friend eat?,43,21,,,
chal-188,Last week Fred had 114 dollars and Jason had 22 dollars. They washed cars over the weekend and now Fred has 21 dollars and Jason has 78 dollars. How much money did Jason make over the weekend?,21,21,20,,
chal-189,Frank had 42 pieces of candy. If he put them equally into 2 bags. How many pieces of candy are in each bag?,22,33,,,
chal-190,Jack received 6 emails in the morning and 2 emails in the afternoon. How many more emails did Jack receive in the morning than in the afternoon?,17,17,29,,
chal-191,Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes. How many more pastries than cakes did baker sell?,10,10,26,,
