id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words,Step 6 Words,Step 7 Words
c818d9480baf11ebab90acde48001122,Who is Frederick Of Luxembourg's paternal grandfather?,8,16,22,30,,,
36a3fe2a0baf11ebab90acde48001122,"Who is Richard Burke, 4Th Earl Of Clanricarde's paternal grandfather?",16,15,25,,,,
c5315db80baf11ebab90acde48001122,Who is the paternal grandfather of John Ii Of Baden?,17,18,20,,,,
4aa187080baf11ebab90acde48001122,Who is the paternal grandmother of Edward I Of England?,10,18,20,,,,
11963eee0bb011ebab90acde48001122,Who is the paternal grandfather of Guy Le Strange?,15,14,14,16,16,,
77f3d9300bb011ebab90acde48001122,Who is Germaine Of Foix's paternal grandfather?,15,24,23,,,,
4a9acefe0baf11ebab90acde48001122,Who is the uncle of Catherine Allégret?,21,22,14,,,,
c8c9313a0baf11ebab90acde48001122,Who is the paternal grandfather of George De Salis?,8,14,18,,,,
ef4907cc0baf11ebab90acde48001122,Who is Busba Kitiyakara's paternal grandfather?,7,15,17,,,,
0c0830a00baf11ebab90acde48001122,Who is Constantine Palaiologos (Son Of Andronikos Ii)'s maternal grandmother?,13,15,17,,,,
ab94845c0baf11ebab90acde48001122,Who is Wisigard's father-in-law?,10,17,13,,,,
ad6e5c1c0baf11ebab90acde48001122,Who is the mother of Olaf (Ii) Haraldsen?,21,14,15,,,,
4a053eb00bb011ebab90acde48001122,"Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?",14,21,23,,,,
81c9a46c0bb011ebab90acde48001122,"Who did Joan Ramon Ii, Count Of Cardona marry?",16,21,18,,,,
c81d185a0baf11ebab90acde48001122,"Who is the paternal grandmother of Sudeley Hanbury-Tracy, 3Rd Baron Sudeley?",10,17,23,,,,
c77037480baf11ebab90acde48001122,"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?",10,19,27,,,,
d6b470160baf11ebab90acde48001122,Who is the maternal grandmother of Archduchess Elisabeth Of Austria (1922–1993)?,14,20,22,,,,
32ebe13e0bb011ebab90acde48001122,"Who is Albert Iv, Prince Of Anhalt-Köthen's paternal grandfather?",12,21,23,,,,
962889100baf11ebab90acde48001122,Who is Wang Xijie's father-in-law?,14,8,14,,,,
8cd3fe6c0baf11ebab90acde48001122,Who is Colgú Mac Faílbe Flaind's uncle?,15,12,15,,,,
475b89f80bb011ebab90acde48001122,Who is the mother-in-law of Gyrid Of Sweden?,25,26,21,,,,
86ae8b920baf11ebab90acde48001122,Who is the maternal grandfather of Prince Dmitri Alexandrovich Of Russia?,15,32,13,,,,
3f5194f00bb011ebab90acde48001122,Who is Prince Harald Of Schaumburg-Lippe's maternal grandfather?,11,17,20,,,,
85dd56440baf11ebab90acde48001122,Who is Albert G. Simms's father-in-law?,7,12,7,17,,,
a9ef43f80baf11ebab90acde48001122,"Who is Joan Of Valois, Duchess Of Alençon's maternal grandfather?",11,19,24,,,,
24835b720bb011ebab90acde48001122,Who is Iynefer Ii's mother-in-law?,5,5,6,8,,,
0365ca8e0baf11ebab90acde48001122,Who is Isma'Il Ibn Ja'Far's paternal grandmother?,4,4,4,17,,,
8da9737a0bb011ebab90acde48001122,Who is the paternal grandfather of Yi Hong?,6,13,15,,,,
5ff9cc8c0baf11ebab90acde48001122,"Who is the paternal grandfather of Sir Thomas Lawley, 3Rd Baronet?",12,24,23,,,,
215df1140bb011ebab90acde48001122,"Who is the paternal grandfather of George Lyon, 5Th Lord Glamis?",19,19,24,,,,
3d2336700bb011ebab90acde48001122,"Who is the paternal grandmother of Jeanne Of Bar, Countess Of Marle And Soissons?",12,21,24,,,,
7f20efa00baf11ebab90acde48001122,"Who is the paternal grandmother of Prince Robert, Duke Of Chartres?",11,21,21,,,,
32eca0e20bb011ebab90acde48001122,Who is Princess Florestine Of Monaco's paternal grandmother?,9,7,10,,,,
8145e4de0baf11ebab90acde48001122,Who is Marcus Aemilius Lepidus (Executed 39)'s father-in-law?,9,15,10,,,,
6842323e0bb011ebab90acde48001122,Who is Charles Xiii Of Sweden's paternal grandfather?,10,10,11,10,21,,
914033c60baf11ebab90acde48001122,"Who is the maternal grandfather of Conan Ii, Duke Of Brittany?",7,18,22,,,,
525193fc0bb011ebab90acde48001122,"Who is Henri Ii, Duke Of Nemours's paternal grandfather?",12,20,22,12,,,
579db8dc0baf11ebab90acde48001122,Who is Tekle Haymanot Ii's paternal grandfather?,10,9,17,,,,
c1d45a9e0baf11ebab90acde48001122,Who is the paternal grandfather of Eochaid Ailtlethan?,6,16,11,13,,,
f6e6ddfc0bae11ebab90acde48001122,Who is the maternal grandfather of Princess Helena Adelaide Of Schleswig-Holstein-Sonderburg-Glücksburg?,11,26,22,,,,
77cecc800bb011ebab90acde48001122,"Who is the paternal grandmother of Charles Stuart, 1St Earl Of Lennox?",17,17,19,,,,
48ad0aca0bb011ebab90acde48001122,"Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?",9,20,25,,,,
184d5d440bb011ebab90acde48001122,Who is Alexandra Of Lithuania's father-in-law?,14,17,17,,,,
5d46fb540baf11ebab90acde48001122,"Who is Infante Philip, Duke Of Calabria's paternal grandmother?",8,19,22,,,,
91e7e3780baf11ebab90acde48001122,Who is the father-in-law of Ri Sol-Ju?,13,19,14,,,,
58e236320baf11ebab90acde48001122,Who is Fernando Rodríguez De Castro's paternal grandfather?,11,14,25,,,,
129b312e0baf11ebab90acde48001122,"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?",19,19,24,,,,
421c46760bb011ebab90acde48001122,Who is the maternal grandfather of Princess Louise Of Belgium?,24,21,19,,,,
b583abd20baf11ebab90acde48001122,Who is the paternal grandfather of Sultan Al-Dawla?,15,22,19,,,,
169e179a0bb011ebab90acde48001122,Who is Hye Of Baekje's paternal grandfather?,7,17,14,,,,
5c04f9c00bb011ebab90acde48001122,"Who is the paternal grandfather of Gilbert De Umfraville, Earl Of Angus?",15,16,23,,,,
6a701bca0bb011ebab90acde48001122,"Who is the paternal grandmother of Reinald Iv, Duke Of Guelders And Jülich?",8,19,15,,,,
61964be60bb011ebab90acde48001122,"Who is the paternal grandmother of Arthur Gore, 1St Earl Of Arran?",13,19,22,,,,
8d91732e0bb011ebab90acde48001122,"Who is Albert Iii, Prince Of Anhalt-Zerbst's paternal grandfather?",12,20,21,,,,
0a65b7300bb011ebab90acde48001122,Who is Olga Constantinovna Of Russia's maternal grandfather?,13,17,20,,,,
02912df60baf11ebab90acde48001122,"Who is Eleanor Of England, Countess Of Leicester's paternal grandmother?",15,24,25,,,,
c09c7c060baf11ebab90acde48001122,Who is Countess Alexandra Von Zarnekau's paternal grandmother?,9,19,21,,,,
f4a616ac0bae11ebab90acde48001122,"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?",12,20,22,,,,
1f38945c0bb011ebab90acde48001122,"Who is George Frederick, Count Of Erbach-Breuberg's paternal grandfather?",9,22,25,,,,
f66993ce0bae11ebab90acde48001122,Who is Anna Of Nassau-Dillenburg (1541–1616)'s maternal grandmother?,10,10,9,18,,,
8879d5b60bb011ebab90acde48001122,Who is the father-in-law of Prince Feodor Alexandrovich Of Russia?,13,19,19,,,,
ea862fd00baf11ebab90acde48001122,Who is the father-in-law of Graham Smith (Māori Academic)?,6,8,12,,,,
3f5c3d7e0bb011ebab90acde48001122,Who is Wenceslaus Of Żagań's paternal grandfather?,9,12,15,,,,
788976e40baf11ebab90acde48001122,"Who is the maternal grandmother of Isabel De Verdun, Baroness Ferrers Of Groby?",14,17,18,,,,
4a9c5bde0baf11ebab90acde48001122,"Who is Louis Viii, Landgrave Of Hesse-Darmstadt's paternal grandmother?",17,18,17,,,,
327a14420baf11ebab90acde48001122,Who is the maternal grandfather of Agnès Of Navarre?,10,18,20,,,,
6c7b27ac0bb011ebab90acde48001122,"Who is Adolf, Duke Of Bavaria's maternal grandfather?",11,21,21,,,,
e15b1fe20baf11ebab90acde48001122,Who is Grimoald The Younger's paternal grandfather?,14,19,,,,,
53e18b8c0bb011ebab90acde48001122,"Who is Ailwyn Fellowes, 1St Baron Ailwyn's paternal grandfather?",10,8,8,9,8,,
4a0422f00bb011ebab90acde48001122,Who is Prince Hubertus Of Prussia's maternal grandfather?,12,21,23,,,,
f3c9cb920baf11ebab90acde48001122,Who is Gaius Rubellius Blandus's father-in-law?,13,17,10,,,,
fa3a75300baf11ebab90acde48001122,Who is the paternal grandfather of Casimir Ii Of Zator?,12,20,19,,,,
21f924140baf11ebab90acde48001122,Who is the sibling-in-law of Marie Thérèse De Choiseul?,21,19,14,,,,
619580300bb011ebab90acde48001122,Who is John Of Hesse-Braubach's co-husband?,10,10,,,,,
48b07de00bb011ebab90acde48001122,Who is Duchess Marie Louise Of Mecklenburg-Schwerin's paternal grandfather?,11,22,,,,,
374844b20baf11ebab90acde48001122,Who is Ermengarde Of Tuscany's paternal grandfather?,8,16,18,20,,,
ac354ea00baf11ebab90acde48001122,Who is the paternal grandmother of Princess Louise Of Denmark (1726–1756)?,15,19,18,,,,
4c1772720bb011ebab90acde48001122,Who is Princess Franziska Of Hohenlohe-Waldenburg-Schillingsfürst's sibling-in-law?,13,12,12,,,,
812d167e0bb011ebab90acde48001122,"Who is the maternal grandfather of Edmund Stafford, 5Th Earl Of Stafford?",6,20,9,16,,,
895740ae0bb011ebab90acde48001122,"Who is William Paulet, 4Th Marquess Of Winchester's paternal grandmother?",14,21,23,,,,
429615320bb011ebab90acde48001122,"Who is Anne De Laval, Viscountess Of Thouars's paternal grandfather?",16,22,27,,,,
66f6f0e60baf11ebab90acde48001122,Who is Alberic Ii Of Spoleto's maternal grandmother?,9,16,20,,,,
6be347940baf11ebab90acde48001122,Who is the paternal grandfather of Alexandru Coconul?,10,15,14,,,,
d4f53b200baf11ebab90acde48001122,Who is the father of Auguste-Théodore-Paul De Broglie?,9,12,15,,,,
4faf4b760bb011ebab90acde48001122,Who is the mother-in-law of Maria Caroline Gibert De Lametz?,8,7,9,11,22,,
648a5df20baf11ebab90acde48001122,Who is the mother-in-law of Ada Of Scotland?,10,14,14,,,,
9ec332a00baf11ebab90acde48001122,Who is Louis X Of France's maternal grandfather?,25,16,21,,,,
ace961ec0baf11ebab90acde48001122,Who is Shepseskare's paternal grandmother?,8,20,14,,,,
57eba38e0bb011ebab90acde48001122,Who is the paternal grandfather of Princess Catherine Of Schleswig-Holstein-Sonderburg-Beck?,8,19,20,,,,
2eaa7d9c0bb011ebab90acde48001122,Who is the paternal grandfather of Daughter Of Julius Constantius?,8,8,12,16,,,
02428f7e0bb011ebab90acde48001122,"Who is Bertrand, Count Of Toulouse's child-in-law?",6,12,13,,,,
21ec1e0e0baf11ebab90acde48001122,"Who is Charlotte Lee, Countess Of Lichfield's paternal grandmother?",20,21,22,,,,
29bd8c0c0bb011ebab90acde48001122,"Who is the paternal grandfather of William De Ferrers, 4Th Earl Of Derby?",13,23,30,,,,
3f2eb0120baf11ebab90acde48001122,"Who is the father-in-law of Elizabeth Somerset, Baroness Herbert?",10,14,24,,,,
a4f54a640baf11ebab90acde48001122,"Who is Ferdinand, Duke Of Viseu's maternal grandfather?",9,23,28,,,,
5569eb4e0baf11ebab90acde48001122,Who is Eva Chamberlain's maternal grandmother?,6,11,11,15,,,
fbc3b82c0bae11ebab90acde48001122,"Who is Joan Of Valois, Countess Of Hainaut's paternal grandfather?",8,18,12,,,,
6a76a6b60bb011ebab90acde48001122,Who is Princess Marie Of Waldeck And Pyrmont's maternal grandfather?,25,22,24,,,,
fc0370920baf11ebab90acde48001122,"Who is the paternal grandmother of Mervyn Tuchet, 4Th Earl Of Castlehaven?",10,21,23,,,,
f78d85300bae11ebab90acde48001122,"Who is Joan De Beauchamp, Countess Of Ormond's father-in-law?",15,21,26,,,,
170b21e60bb011ebab90acde48001122,Who is Sobe (Sister Of Saint Anne)'s grandchild?,16,10,16,,,,
dd1995e40baf11ebab90acde48001122,Who is the paternal grandmother of Lewis Of Luxembourg?,6,16,18,,,,
8fd7bd3c0bb011ebab90acde48001122,Who is the stepchild of Æthelred Of Mercia?,8,6,16,,,,
29bff6c20bb011ebab90acde48001122,Who is the father-in-law of Caroline Amalie Of Augustenburg?,9,18,17,,,,
5f5897fe0baf11ebab90acde48001122,"Who is Philippe, Duke Of Anjou's maternal grandfather?",10,19,22,,,,
48b242c40bb011ebab90acde48001122,Who is the paternal grandfather of Ray Knight (Rodeo Organizer)?,13,12,15,,,,
272e7aa00bb011ebab90acde48001122,Who is Zwelonke Sigcawu's paternal grandfather?,7,12,21,,,,
695689d20baf11ebab90acde48001122,Who is Rani Mukerji's father-in-law?,7,8,14,,,,
f6582e180bae11ebab90acde48001122,Who is Archduchess Maria Antonia Of Austria (1899–1977)'s maternal grandfather?,10,8,21,,,,
1add88540bb011ebab90acde48001122,Who is the child-in-law of Marie De Namur?,18,,,,,,
0105fd120bb011ebab90acde48001122,"Who is Sir William Lowther, 1St Baronet, Of Marske's paternal grandfather?",15,20,24,,,,
623bee3e0bb011ebab90acde48001122,Who is the paternal grandfather of Conrad Ii Of Italy?,15,17,18,,,,
fcd3ff500baf11ebab90acde48001122,Who is Teriimaevarua Iii's paternal grandmother?,6,13,15,,,,
d7245d400baf11ebab90acde48001122,Who is the father-in-law of Rahmat Banu Begum?,24,24,18,,,,
9b5af6700baf11ebab90acde48001122,"Who is the father of William Ii, Duke Of Bavaria?",14,19,22,,,,
7da6577c0bb011ebab90acde48001122,Who is Queen Inseong's mother-in-law?,6,6,6,6,11,,
eb18f7ac0baf11ebab90acde48001122,"Who is Sancha Of Castile, Queen Of Aragon's father-in-law?",20,17,15,,,,
200805ca0bb011ebab90acde48001122,"Who is Reginar Iv, Count Of Mons's paternal grandfather?",12,20,22,13,,,
519cf6dc0baf11ebab90acde48001122,Who is Gisela Of Hungary's mother-in-law?,10,14,13,,,,
3209ff5e0baf11ebab90acde48001122,"Who is the maternal grandfather of Agnes Duff, Countess Fife?",19,20,23,,,,
948c33ea0baf11ebab90acde48001122,Who is the paternal grandfather of Naja Rosa?,6,14,15,,,,
6a953aae0bb011ebab90acde48001122,Who is the child of Graziano Rossi?,8,7,,,,,
899ecc9e0bb011ebab90acde48001122,Who is the father-in-law of Lady Rose Mclaren?,8,13,15,15,,,
6a848a240bb011ebab90acde48001122,"Who is Alexander Lyon, 2Nd Lord Glamis's paternal grandfather?",12,20,25,,,,
77dcc8ee0bb011ebab90acde48001122,Who is the paternal grandfather of Przemysław Of Toszek?,18,19,21,,,,
ba7bbf3a0baf11ebab90acde48001122,Who is the father-in-law of Izz-Un-Nissa?,7,12,9,7,,,
bb3829b80baf11ebab90acde48001122,"Who is the father-in-law of Maria Manuela, Princess Of Portugal?",9,16,17,,,,
83a016220bb011ebab90acde48001122,Who is the paternal grandfather of Qiubo Of Han?,6,4,4,4,4,8,
812e7fdc0bb011ebab90acde48001122,Who is Prince Archil Of Imereti's child?,19,14,15,,,,
3e4d9e0a0bb011ebab90acde48001122,Who is Keanolani's aunt?,8,10,16,9,,,
3bbc5b180bb011ebab90acde48001122,"Who is the paternal grandmother of Alix, Countess Of Eu?",19,17,19,,,,
8c3c6d9e0bb011ebab90acde48001122,Who is the maternal grandmother of Princess Catherine Of Württemberg?,7,17,13,,,,
e9dc3da00bae11ebab90acde48001122,Who is Şah Sultan (Daughter Of Selim Ii)'s paternal grandmother?,19,15,20,,,,
6a7e42180bb011ebab90acde48001122,Who is the paternal grandfather of Diya Al-Dawla?,8,13,16,,,,
4062254e0bb011ebab90acde48001122,Who is the father-in-law of Plautia Urgulanilla?,9,12,14,,,,
6b6eb7bc0baf11ebab90acde48001122,"Who is Alexandre Berthier, 3Rd Prince Of Wagram's paternal grandmother?",15,25,15,,,,
32edaabe0bb011ebab90acde48001122,Who is the paternal grandfather of Prince Joseph Wenzel Of Liechtenstein?,10,18,20,,,,
f6e119300bae11ebab90acde48001122,Who is Princess Jeguk's paternal grandmother?,9,17,19,,,,
37f3bd380baf11ebab90acde48001122,Who is Karl Von Habsburg's paternal grandmother?,8,8,10,,,,
d09a3e680baf11ebab90acde48001122,Who is Mara Branković's mother-in-law?,10,14,14,,,,
2a6d02fe0bb011ebab90acde48001122,Who is the sibling-in-law of Giuditta Grisi?,7,8,12,,,,
ebd650640bae11ebab90acde48001122,"Who is Eleanor Of England, Countess Of Bar's father-in-law?",7,16,17,,,,
87a715180bb011ebab90acde48001122,"Who is Johann Wilhelm, Duke Of Saxe-Jena's mother?",9,13,11,13,11,13,
286b03160bb011ebab90acde48001122,"Who is the paternal grandfather of Richard White, 2Nd Earl Of Bantry?",10,19,25,,,,
60b012800baf11ebab90acde48001122,Who is Adriana Of Nassau-Dillenburg's maternal grandfather?,6,19,17,,,,
736afe9e0baf11ebab90acde48001122,"Who is Infante Philip, Duke Of Calabria's paternal grandfather?",10,19,20,,,,
530b83f20bb011ebab90acde48001122,Who is Peter Sarsgaard's sibling-in-law?,7,8,14,,,,
c96e87340baf11ebab90acde48001122,Who is Priyadarshini Raje Scindia's father-in-law?,14,7,17,,,,
8956ddd00bb011ebab90acde48001122,"Who is Joan Of France, Duchess Of Brittany's maternal grandmother?",9,8,7,5,21,,
29bddf900bb011ebab90acde48001122,Who is Grand Duchess Natalya Alexeyevna Of Russia (1714–1728)'s mother?,23,16,19,,,,
6c14c5ca0bb011ebab90acde48001122,Who is the paternal grandmother of Princess Elisabeth Of Waldeck And Pyrmont?,9,22,23,,,,
65645b8c0bb011ebab90acde48001122,Who is Princess Adelaide Of Saxe-Meiningen's maternal grandmother?,8,20,19,,,,
bd3dc5f60baf11ebab90acde48001122,"Who is Henry Noel, 6Th Earl Of Gainsborough's paternal grandfather?",14,20,23,,,,
54014a680baf11ebab90acde48001122,Who is Felicia Of Roucy's mother-in-law?,12,11,20,,,,
4800bb8a0bb011ebab90acde48001122,Who is Konrad Iii Rudy's paternal grandmother?,9,15,11,,,,
65649f480bb011ebab90acde48001122,Who is Helvig Of Schauenburg's maternal grandmother?,8,18,18,,,,
169db8ea0bb011ebab90acde48001122,Who is Adolf Of Limburg's paternal grandfather?,9,18,19,21,,,
607bb0e80bb011ebab90acde48001122,Who is Cuthwulf (Son Of Cuthwine)'s paternal grandfather?,6,11,20,,,,
2ed33a200bb011ebab90acde48001122,"Who is Conrad I, Count Of Oldenburg's paternal grandmother?",12,20,22,,,,
10d9966e0baf11ebab90acde48001122,"Who is Archduke Leopold Of Austria, Prince Of Tuscany's maternal grandfather?",15,26,20,12,,,
7decb0240baf11ebab90acde48001122,"Who is the father-in-law of Helena Palaiologina, Despotess Of Serbia?",13,21,21,,,,
2ec80f4c0bb011ebab90acde48001122,Who is Clotilde (Died 531)'s sibling-in-law?,5,7,11,,,,
7ff9bdbc0baf11ebab90acde48001122,Who is Blácaire Mac Gofraid's father?,15,14,17,9,,,
897694360bb011ebab90acde48001122,Who is the paternal grandfather of King Zhao Of Wei?,12,12,21,,,,
37a4158e0bb011ebab90acde48001122,Who is the father of Marie Charlotte De La Trémoille?,9,19,13,,,,
b79798ca0baf11ebab90acde48001122,Who is Empress Zhen (Liao Dynasty)'s father-in-law?,10,8,10,8,8,,
02e9e3dc0bb011ebab90acde48001122,"Who is the paternal grandfather of Patrick Chaworth, 3Rd Viscount Chaworth?",9,19,15,,,,
bec8233a0baf11ebab90acde48001122,Who is Judith (Hebrew Bible)'s sibling-in-law?,4,5,10,9,8,8,11
d282955e0baf11ebab90acde48001122,Who is the mother-in-law of Maria Sophia Of Neuburg?,10,10,17,19,,,
fc38045c0bae11ebab90acde48001122,Who is the mother-in-law of Marcus Aemilius Lepidus (Executed 39)?,18,18,15,,,,
5359efa20baf11ebab90acde48001122,Who is Marjorie Barretto's father-in-law?,12,15,12,,,,
3470afb20bb011ebab90acde48001122,"Who is Ferdinand, Count Of Flanders's maternal grandfather?",12,16,16,19,,,
3079ddde0bb011ebab90acde48001122,Who is the father of Princess Nathalie Of Sayn-Wittgenstein-Berleburg?,23,20,20,,,,
623ea4080bb011ebab90acde48001122,Who is Prince Christian-Sigismund Of Prussia's maternal grandmother?,9,16,12,,,,
56565ef60bb011ebab90acde48001122,Who is Maria Josepha Amalia Of Saxony's maternal grandmother?,21,20,22,,,,
07b62dea0baf11ebab90acde48001122,"Who is the paternal grandfather of Éverard Iii Of Puiset, Viscount Of Chartres?",19,21,21,,,,
e6435d1c0baf11ebab90acde48001122,Who is Princess Luise Dorothea Of Prussia's maternal grandfather?,8,17,22,,,,
3b43439a0bb011ebab90acde48001122,Who is Mahisente Habte Mariam's mother-in-law?,13,20,15,,,,
9e0ac97c0baf11ebab90acde48001122,Who is Baldwin Ii Rátót's paternal grandfather?,8,7,6,16,,,
77e657d80bb011ebab90acde48001122,Who is the sibling-in-law of Elaine Tettemer Marshall?,11,15,10,17,,,
3017c9dc0bb011ebab90acde48001122,"Who is the mother of William Vii Of Jülich, 1St Duke Of Berg?",12,7,15,,,,
6c7fb9160bb011ebab90acde48001122,"Who is Catherine Woodville, Duchess Of Buckingham's maternal grandmother?",15,16,19,,,,
00de046a0bb011ebab90acde48001122,Who is Tassilo Ii Of Bavaria's grandchild?,10,8,15,10,,,
e668ce940baf11ebab90acde48001122,Who is Maria Amalia Of Naples And Sicily's father-in-law?,11,19,22,,,,
897bcb4a0bb011ebab90acde48001122,Who is Jan Iii Of Oświęcim's paternal grandfather?,10,10,21,,,,
84cf37580bb011ebab90acde48001122,"Who is John George Ii, Duke Of Saxe-Eisenach's father-in-law?",13,17,17,,,,
e5e6dfe80bae11ebab90acde48001122,Who is Ferdinand I Of The Two Sicilies's paternal grandfather?,22,18,19,,,,
844783260bb011ebab90acde48001122,Who is the maternal grandmother of Anna Kostka?,7,17,16,,,,
1aec8f200bb011ebab90acde48001122,Who is Myat Phaya's maternal grandmother?,10,16,20,14,,,
5349f3b80baf11ebab90acde48001122,"Who is Beatrice Of Burgundy, Lady Of Bourbon's mother-in-law?",16,23,11,,,,
3ac56c140baf11ebab90acde48001122,Who is the paternal grandfather of John Manners-Sutton (1752–1826)?,13,20,20,,,,
384a387e0bb011ebab90acde48001122,"Who is Archduke Karl Pius Of Austria, Prince Of Tuscany's father?",12,23,18,,,,
6a803af00bb011ebab90acde48001122,Who is the sibling-in-law of Anne Devereux?,11,10,14,15,,,
bc62d2520baf11ebab90acde48001122,Who is Coirpre Mac Fogartaig's paternal grandfather?,11,19,18,,,,
27e926ca0bb011ebab90acde48001122,Who is Ahaziah Of Israel's maternal grandfather?,18,13,19,13,,,
eb26a9e20baf11ebab90acde48001122,Who is the mother-in-law of Adelaide Of Paris?,10,22,17,,,,
3d24d6740bb011ebab90acde48001122,"Who is Augusta Fitzalan-Howard, Duchess Of Norfolk's paternal grandfather?",15,21,26,,,,
87a079740bb011ebab90acde48001122,Who is Grigoriy Gruzinsky's paternal grandmother?,7,13,17,,,,
896080880bb011ebab90acde48001122,"Who is George Rice, 3Rd Baron Dynevor's maternal grandfather?",18,21,23,,,,
